ID,Hakfa_FHL_Unicode,PFS_Unicode,PFS_Numeric,Hakfa_IPA,Taigi_FHL_Unicode,POJ_Unicode,Hanzi,Hakfa_HanLo,Taigi_HanLo,Hua-gi
1,á-chṳ̂,á-chṳ̂,a3-chii1,[a˧˩] [tsɨ˨˦],ékáu,é-káu,áchṳ̂,啞chṳ̂,啞口,啞巴
2,Â-chû,Â-chû,A1-chu1,[a˨˦] [tsu˨˦],Achiu,A-chiu,Âchû,亞洲,亞洲,亞洲
3,â-khiû,â-khiû,a1-khiu1,[a˨˦] [kʰiu˨˦],a'kū,a-kū,â'khiû,阿舅,阿舅,舅舅
4,â-khóa,â-khóa,a1-khoa3,[a˨˦] [kʰoa˧˩],kioe,ki-oe,âkhóa,椏桍,枝椏,枝椏
5,á-kiéu,á-kiéu,a3-kieu3,[a˧˩] [kieu˧˩],ékáu,é-káu,ákiéu,啞狗,啞口,啞巴
6,â-kô,â-kô,a1-ko1,[a˨˦] [ko˨˦],a'hiaⁿ,a-hiaⁿ,âkô,阿哥,阿兄,哥哥
7,â-kô-é,â-kô-é,a1-ko1-e3,[a˨˦] [ko˨˦] [e˧˩],siàuliânke,siàu-liân-ke,â'kô'é,阿哥é,少年家,年輕的男子
8,â-kû,â-kû,a1-ku1,[a˨˦] [ku˨˦],a'ko͘,a-ko͘,â'kû,阿姑,阿姑,姑姑
9,â-kûng,â-kûng,a1-kung1,[a˨˦] [kuŋ˨˦],a'kong,a-kong,âkûng,阿公,阿公,祖父
10,â-kûng-phò,â-kûng-phò,a1-kung1-pho2,[a˨˦] [kuŋ˨˦] [pʰo˩˩],chó͘sian,chó͘-sian,âkûngphò,阿公婆,祖先,祖先
11,â-kûng-phò-phài,â-kûng-phò-phài,a1-kung1-pho2-phai2,[a˨˦] [kuŋ˨˦] [pʰo˩˩] [pʰai˩˩],kongmá pâi,kong-má pâi,âkûngphò phài,阿公婆牌,公媽牌,祖先牌位
12,Â-lî-sân,Â-lî-sân,A1-li1-san1,[a˨˦] [li˨˦] [san˨˦],Alísan,A-lí-san,Âlîsân,阿里山,阿里山,阿里山
13,á-mà,á-mà,a3-ma2,[a˧˩] [ma˩˩],amôa,am-ôa,ámà,亞麻,亞麻,亞麻
14,â-mê,â-mê,a1-me1,[a˨˦] [me˨˦],lāubú,lāu-bú,âmê,阿姆,老母,母親
15,â-mê-fa,â-mê-fa,a1-me1-fa4,[a˨˦] [me˨˦] [fa˥˥],bógí,bó-gí,âmêfa,阿姆話,母語,母語
16,â-mê-ôi,â-mê-ôi,a1-me1-oi1,[a˨˦] [me˨˦] [oi˨˦],an'niâ oeh,an-niâ oeh,â'mê ôi,阿姆ôi,安娘oeh,我的媽呀
17,â-mén,â-mén,a1-men3,[a˨˦] [men˧˩],amén,a-mén,âmén,阿們,阿們,阿們
18,â-mí-kâ,â-mí-kâ,a1-mi3-ka1,[a˨˦] [mi˧˩] [ka˨˦],omega,o-me-ga,âmíkâ,亞米茄,亞米茄,亞米茄
19,â-moi,â-moi,a1-moi4,[a˨˦] [moi˥˥],siómōe,sió-mōe,âmoi,阿妹,小妹,妹妹
20,â-moi-é,â-moi-é,a1-moi4-e3,[a˨˦] [moi˥˥] [e˧˩],siàulú,siàu-lú,â'moi'é,阿妹é,少女,"""年輕的女孩"
21,â-ngì-fap,â-ngì-fap,a1-ngi2-fap6,[a˨˦] [ɲi˩˩] [fap̚˨],alhoah,alhoah,ângìfap,阿爾法,阿爾法,阿爾法
22,â-ô,â-ô,a1-o1,[a˨˦] [o˨˦],ai-ioh,ai-ioh,â-ô,啊噢,ai-ioh,唉呦
23,â-pâ,â-pâ,a1-pa1,[a˨˦] [pa˨˦],a'pa,a-pa,â'pâ,阿爸,阿爸,爸爸
24,â-pak,â-pak,a1-pak6,[a˨˦] [pak̚˨],a'peh,a-peh,â'pak,阿伯,阿伯,伯父
25,â-phò,â-phò,a1-pho2,[a˨˦] [pʰo˩˩],a'má,a-má,â'phò,阿婆,阿媽,祖母
26,â-phò-thai,â-phò-thai,a1-pho2-thai4,[a˨˦] [pʰo˩˩] [tʰai˥˥],a'thài,a-thài,â'phòthai,阿婆太,阿太,曾祖母
27,â-pu̍t-to,â-pu̍t-to,a1-put5-to4,[a˨˦] [put̚˥] [to˥˥],aputtó'á,a-put-tó-á,âpu̍tto,阿pu̍t倒,阿不倒á,不倒翁
28,â-só,â-só,a1-so3,[a˨˦] [so˧˩],a'só,a-só,â'só,阿嫂,阿嫂,嫂嫂
29,â-suk,â-suk,a1-suk6,[a˨˦] [suk̚˨],a'chek,a-chek,â'suk,阿叔,阿叔,叔叔
30,â-thai,â-thai,a1-thai4,[a˨˦] [tʰai˥˥],a'thài,a-thài,âthai,阿太,阿太,曾祖
31,â-yì,â-yì,a1-yi2,[a˨˦] [i˩˩],a'î,a-î,â'yì,阿姨,阿姨,阿姨
32,âi,âi,ai1,[ai˨˦],e óa,e óa,âi,挨,挨óa,靠近
33,ái-châi,ái-châi,ai3-chai1,[ai˧˩] [tsai˨˦],aichai,ai-chai,áichâi,唉哉,哀哉,唉哉
34,âi-châi,âi-châi,ai1-chai1,[ai˨˦] [tsai˨˦],aichai,ai-chai,âichâi,唉哉,哀哉,唉哉
35,ái-chhiòng,ái-chhiòng,ai3-chhiong2,[ai˧˩] [tɕʰioŋ˩˩],é chhiûⁿ,é chhiûⁿ,ái chhiòng,矮牆,矮牆,矮牆
36,ái-chok,ái-chok,ai3-chok6,[ai˧˩] [tsok̚˨],é toh'á,é toh-á,ái chok,矮桌,矮桌,矮桌
37,ai-héu,ai-héu,ai4-heu3,[ai˥˥] [heu˧˩],àikháu,ài-kháu,aihéu,隘口,隘口,隘口
38,âi-hièn-é,âi-hièn-é,ai1-hien2-e3,[ai˨˦] [hien˩˩] [e˧˩],e hiân'á,e hiân-á,âihièn'é,挨弦é,挨弦á,拉胡琴
39,âi-kiâm-lòi,âi-kiâm-lòi,ai1-kiam1-loi2,[ai˨˦] [kiam˨˦] [loi˩˩],kho͘ óa lâi,kho͘ óa lâi,âikiâm lòi,挨兼來,靠óa lâi,靠近
40,âi-lùng,âi-lùng,ai1-lung2,[ai˨˦] [luŋ˩˩],e thô͘lâng,e thô͘-lâng,âi lùng,挨礱（海陸）,挨土礱,碾榖
41,ái-se,ái-se,ai3-se4,[ai˧˩] [se˥˥],ékó͘,é-kó͘,áise,矮細,矮股,身材矮小
42,ái-su,ái-su,ai3-su4,[ai˧˩] [su˥˥],é chhiū,é chhiū,ái su,矮樹,矮樹,矮樹
43,ái-tún,ái-tún,ai3-tun3,[ai˧˩] [tun˧˩],é kó͘tóng,é kó͘-tóng,áitún,矮頓,矮股董,身材矮胖
44,ái-tut-tut,ái-tut-tut,ai3-tut6-tut6,[ai˧˩] [tut̚˨] [tut̚˨],é tuhtuh,é tuh-tuh,ái tuttut,矮tut-tut,矮tuhtuh,矮小
45,âi-yô,âi-yô,ai1-yo1,[ai˨˦] [io˨˦],ai-ioh,ai-ioh,âi-yô,哀喲,哀喲,哀喲
46,ai-yúng,ai-yúng,ai4-yung3,[ai˥˥] [iuŋ˧˩],àiióng,ài-ióng,aiyúng,隘勇,隘勇,守隘口的壯丁
47,ak-sú,ak-sú,ak6-su3,[ak̚˨] [su˧˩],at chhiú,at chhiú,aksú,扼手,at手,握手
48,am-chhà,am-chhà,am4-chha2,[am˥˥] [tsʰa˩˩],àmchhâ,àm-chhâ,amchhà,暗查,暗查,暗查
49,am-chhôn,am-chhôn,am4-chhon1,[am˥˥] [tsʰon˨˦],àmtǹg,àm-tǹg,amchhôn,暗餐,暗頓,晚餐
50,am-chûng,am-chûng,am4-chung1,[am˥˥] [tsuŋ˨˦],àmtiong,àm-tiong,amchûng,暗中,暗中,暗中
51,am-fóng,am-fóng,am4-fong3,[am˥˥] [foŋ˧˩],àmhóng,àm-hóng,amfóng,暗訪,暗訪,暗訪
52,am-ho,am-ho,am4-ho4,[am˥˥] [ho˥˥],àmhō,àm-hō,amho,暗號,暗號,暗號
53,âm-kông,âm-kông,am1-kong1,[am˨˦] [koŋ˨˦],amkng,am-kng,âmkông,醃缸,am缸,醃缸
54,am-phu,am-phu,am4-phu4,[am˥˥] [pʰu˥˥],àmpō͘,àm-pō͘,amphu,暗步,暗步,詭計
55,am-pû,am-pû,am4-pu1,[am˥˥] [pu˨˦],êngàm,ên-gàm,ampû,暗晡,êng暗,晚上
56,am-pû-sṳ̀,am-pû-sṳ̀,am4-pu1-sii2,[am˥˥] [pu˨˦] [sɨ˩˩],àmsî'á,àm-sî-á,ampûsṳ̀,暗晡時,暗時á,晚上
57,am-pû-thèu,am-pû-thèu,am4-pu1-theu2,[am˥˥] [pu˨˦] [tʰeu˩˩],àmthâu'á,àm-thâu-á,ampûthèu,暗晡頭,暗頭á,晚上
58,am-sat,am-sat,am4-sat6,[am˥˥] [sat̚˨],àmsat,àm-sat,amsat,暗殺,暗殺,暗殺
59,am-son,am-son,am4-son4,[am˥˥] [son˥˥],àmsǹg,àm-sǹg,amson,暗算,暗算,暗算
60,am-sṳ,am-sṳ,am4-sii4,[am˥˥] [sɨ˥˥],àmsī,àm-sī,amsṳ,暗示,暗示,暗示
61,am-thet,am-thet,am4-thet6,[am˥˥] [tʰet̚˨],àm khì,àm khì,amthet,暗掉,暗去,暗掉
62,am-ya,am-ya,am4-ya4,[am˥˥] [ia˥˥],àmmê,àm-mê,amya,暗夜,暗暝,晚上
63,án-chhàu,án-chhàu,an3-chhau2,[an˧˩] [tsʰau˩˩],hiah chhá,hiah chhá,án chhàu,án吵,hiah吵,那麼吵
64,án-chheu,án-chheu,an3-chheu4,[an˧˩] [tsʰeu˥˥],hiah sán,hiah sán,án chheu,án瘦,hiah瘦,那麼瘦
65,án-chhòng,án-chhòng,an3-chhong2,[an˧˩] [tsʰoŋ˩˩],hiah tn̂g,hiah tn̂g,án chhòng,án長,hiah長,那麼長
66,án-chhû,án-chhû,an3-chhu1,[an˧˩] [tsʰu˨˦],hiah chho͘,hiah chho͘,án chhû,án粗,hiah粗,那麼粗
67,án-chhṳ̂m,án-chhṳ̂m,an3-chhiim1,[an˧˩] [tsʰɨm˨˦],hiah chhim,hiah chhim,án chhṳ̂m,án深,hiah深,那麼深
68,án-chhûng,án-chhûng,an3-chhung1,[an˧˩] [tsʰuŋ˨˦],hiah tāng,hiah tāng,án chhûng,án重,hiah重,那麼重
69,án-chhṳ̍t,án-chhṳ̍t,an3-chhiit5,[an˧˩] [tsʰɨt̚˥],hiah ti̍t,hiah ti̍t,án chhṳ̍t,án直,hiah直,那麼直
70,án-chiâng,án-chiâng,an3-chiang1,[an˧˩] [tɕiaŋ˨˦],hiah súi,hiah súi,án chiâng,án靚,hiah súi,那麼漂亮
71,án-chó,án-chó,an3-cho3,[an˧˩] [tso˧˩],gâu chá,gâu chá,án chó,án早,gâu早,早安
72,án-chṳ́-se,án-chṳ́-se,an3-chii3-se4,[an˧˩] [tsɨ˧˩] [se˥˥],ló͘la̍t,ló͘-la̍t,ánchṳ́se,án仔細,ló͘la̍t,謝謝
73,án-fái,án-fái,an3-fai3,[an˧˩] [fai˧˩],hiah hāi,hiah hāi,án fái,án壞,hiah害,那麼壞
74,án-fat,án-fat,an3-fat6,[an˧˩] [fat̚˨],hiah khoah,hiah khoah,án fat,án闊,hiah闊,那麼寬
75,án-fùng,án-fùng,an3-fung2,[an˧˩] [fuŋ˩˩],hiah âng,hiah âng,án fùng,án紅,hiah紅,那麼紅
76,án-hióng,án-hióng,an3-hiong3,[an˧˩] [hioŋ˧˩],hiah hiáng,hiah hiáng,án hióng,án響,hiah響,那麼響
77,án-hiông,án-hiông,an3-hiong1,[an˧˩] [hioŋ˨˦],hiah phang,hiah phang,án hiông,án香,hiah芳,那麼香
78,án-hó,án-hó,an3-ho3,[an˧˩] [ho˧˩],hiah hó,hiah hó,án hó,án好,hiah好,那麼好
79,án-kám,án-kám,an3-kam3,[an˧˩] [kam˧˩],hiah káⁿ,hiah káⁿ,án kám,án敢,hiah敢,那麼敢
80,án-khioi,án-khioi,an3-khioi4,[an˧˩] [kʰioi˥˥],hiah thiám,hiah thiám,án khioi,ánkhioi,hiah thiám,那麼累
81,án-khiòng,án-khiòng,an3-khiong2,[an˧˩] [kʰioŋ˩˩],hiah kiông,hiah kiông,án khiòng,án強,hiah強,那麼強
82,án-khiûn,án-khiûn,an3-khiun1,[an˧˩] [kʰiun˨˦],hiah kīn,hiah kīn,án khiûn,án近,hiah近,那麼近
83,án-kiak,án-kiak,an3-kiak6,[an˧˩] [kiak̚˨],hiah kín,hiah kín,án kiak,án遽,hiah緊,那麼快
84,án-kiâng,án-kiâng,an3-kiang1,[an˧˩] [kiaŋ˨˦],hiah kiaⁿ,hiah kiaⁿ,án kiâng,án驚,hiah驚,那麼怕
85,án-kiú,án-kiú,an3-kiu3,[an˧˩] [kiu˧˩],hiah kú,hiah kú,án kiú,án久,hiah久,那麼久
86,án-kiú hó-mò,án-kiú hó-mò,an3-kiu3 ho3-mo2,[an˧˩] [kiu˧˩] [ho˧˩] [mo˩˩],chòekīn hó bô,chòe-kīn hó bô,ánkiú hómò,恁久好無,最近好無,近來好嗎
87,án-kiú mò-khon-tó,án-kiú mò-khon-tó,an3-kiu3 mo2-khon4-to3,[an˧˩] [kiu˧˩] [mo˩˩] [kʰon˥˥] [to˧˩],chin kú bô kìⁿbīn,chin kú bô kìⁿ-bīn,ánkiú mò khontó,恁久無看到,好久不見,好久不見
88,án-kô,án-kô,an3-ko1,[an˧˩] [ko˨˦],hiah koân,hiah koân,án kô,án高,hiah koân,那麼高
89,án-kông,án-kông,an3-kong1,[an˧˩] [koŋ˨˦],hiah kng,hiah kng,án kông,án光,hiah光,那麼亮
90,án-kui,án-kui,an3-kui4,[an˧˩] [kui˥˥],hiah kùi,hiah kùi,án kui,án貴,hiah貴,那麼貴
91,án-lat,án-lat,an3-lat6,[an˧˩] [lat̚˨],hiah joa̍h,hiah joa̍h,án lat,án炙,hiah熱,那麼炎熱
92,án-li,án-li,an3-li4,[an˧˩] [li˥˥],hiah lāi,hiah lāi,án li,án利,hiah利,那麼利
93,án-ló,án-ló,an3-lo3,[an˧˩] [lo˧˩],hiah lāu,hiah lāu,án ló,án老,hiah老,那麼老
94,án-man,án-man,an3-man4,[an˧˩] [man˥˥],hiah bān,hiah bān,án man,án慢,hiah慢,那麼慢
95,án-nàn,án-nàn,an3-nan2,[an˧˩] [nan˩˩],hiah oh,hiah oh,án nàn,án難,hiah oh,那麼難
96,án-nâu,án-nâu,an3-nau1,[an˧˩] [nau˨˦],hiah hoân,hiah hoân,án nâu,án惱,hiah煩,那麼討厭
97,án-ngang,án-ngang,an3-ngang4,[an˧˩] [ŋaŋ˥˥],hiah ngē,hiah ngē,án ngang,án硬,hiah硬,那麼硬
98,án-ngiàm,án-ngiàm,an3-ngiam2,[an˧˩] [ɲiam˩˩],hiah giâm,hiah giâm,án ngiàm,án嚴,hiah嚴,那麼嚴格
99,án-ngio̍k,án-ngio̍k,an3-ngiok5,[an˧˩] [ɲiok̚˥],hiah lám,hiah lám,án ngio̍k,án弱,hiah lám,那麼弱
100,án-ngióng,án-ngióng,an3-ngiong3,[an˧˩] [ɲioŋ˧˩],ánne,án-ne,ánngióng,án樣,ánne,這樣
101,án-ngong,án-ngong,an3-ngong4,[an˧˩] [ŋoŋ˥˥],hiah gōng,hiah gōng,án ngong,án戇,hiah戇,那麼笨
102,án-ok,án-ok,an3-ok6,[an˧˩] [ok̚˨],hiah hiông,hiah hiông,án ok,án惡,hiah hiông,那麼兇惡
103,án-pha̍k,án-pha̍k,an3-phak5,[an˧˩] [pʰak̚˥],hiah pe̍h,hiah pe̍h,án pha̍k,án白,hiah白,那麼白
104,án-phì,án-phì,an3-phi2,[an˧˩] [pʰi˩˩],hiah pûi,hiah pûi,án phì,án肥,hiah肥,那麼肥
105,án-se,án-se,an3-se4,[an˧˩] [se˥˥],hiah sè,hiah sè,án se,án細,hiah細,那麼細
106,án-séu,án-séu,an3-seu3,[an˧˩] [seu˧˩],hiah chió,hiah chió,án séu,án少,hiah少,那麼少
107,án-sîn,án-sîn,an3-sin1,[an˧˩] [ɕin˨˦],hiah sin,hiah sin,án sîn,án新,hiah新,那麼新
108,án-sôi,án-sôi,an3-soi1,[an˧˩] [soi˨˦],hiah soe,hiah soe,án sôi,án衰,hiah衰,那麼倒楣
109,án-sùn,án-sùn,an3-sun2,[an˧˩] [sun˩˩],hiah sûn,hiah sûn,án sùn,án純,hiah純,那麼純
110,án-thai,án-thai,an3-thai4,[an˧˩] [tʰai˥˥],hiah tōa,hiah tōa,án thai,án大,hiah大,那麼大
111,án-thiám,án-thiám,an3-thiam3,[an˧˩] [tʰiam˧˩],hiah thiám,hiah thiám,án thiám,án痶,hiah thiám,那麼累
112,án-thiàm,án-thiàm,an3-thiam2,[an˧˩] [tʰiam˩˩],hiah tiⁿ,hiah tiⁿ,án thiàm,án甜,hiah甜,那麼甜
113,án-thu̍k,án-thu̍k,an3-thuk5,[an˧˩] [tʰuk̚˥],hiah to̍k,hiah to̍k,án thu̍k,án毒,hiah毒,那麼毒
114,án-thun,án-thun,an3-thun4,[an˧˩] [tʰun˥˥],hiah tun,hiah tun,án thun,án鈍,hiah鈍,那麼鈍
115,án-thung,án-thung,an3-thung4,[an˧˩] [tʰuŋ˥˥],hiah thiàⁿ,hiah thiàⁿ,án thung,án痛,hiah痛,那麼痛
116,án-tô,án-tô,an3-to1,[an˧˩] [to˨˦],hiah chē,hiah chē,án tô,án多,hiah chē,那麼多
117,án-voi,án-voi,an3-voi4,[an˧˩] [ʋoi˥˥],hiah gâu,hiah gâu,án voi,án會,hiah gâu,那麼會
118,án-vû,án-vû,an3-vu1,[an˧˩] [ʋu˨˦],hiah o͘,hiah o͘,án vû,án烏,hiah烏,那麼黑
119,án-yén,án-yén,an3-yen3,[an˧˩] [ien˧˩],hiah hn̄g,hiah hn̄g,án yén,án遠,hiah遠,那麼遠
120,án-nun,án-nun,an3-nun4,[an˧˩] [nun˥˥],hiah iù,hiah iù,án nun,án嫩,hiah幼,那麼幼小
121,âng-é,âng-é,ang1-e3,[aŋ˨˦] [e˧˩],àng'á,àng-á,âng'é,盎é,甕á,甕
122,âng-é-nài,âng-é-nài,ang1-e3-nai2,[aŋ˨˦] [e˧˩] [nai˩˩],liâmthô͘,liâm-thô͘,âng'é nài,盎é泥,黏土,黏土
123,âng-tú,âng-tú,ang1-tu3,[aŋ˨˦] [tu˧˩],àng'á lāi,àng-á lāi,âng tú,甕肚,甕á內,甕裡
124,ap-chhiâng,ap-chhiâng,ap6-chhiang1,[ap̚˨] [tɕʰiaŋ˨˦],iùkhí,iù-khí,apchhiâng,鴨青,幼齒,年輕未成熟的
125,ap-chiú-chhṳ̀,ap-chiú-chhṳ̀,ap6-chiu3-chhii2,[ap̚˨] [tɕiu˧˩] [tsʰɨ˩˩],ap chiútî,ap chiú-tî,apchiúchhṳ̀,壓酒池,壓酒池,壓酒池
126,ap-chṳ,ap-chṳ,ap6-chii4,[ap̚˨] [tsɨ˥˥],apchè,ap-chè,apchṳ,壓制,壓制,壓制
127,ap-é,ap-é,ap6-e3,[ap̚˨] [e˧˩],ah'á,ah-á,ap'é,鴨é,鴨á,鴨子
128,ap-kîm,ap-kîm,ap6-kim1,[ap̚˨] [kim˨˦],ahkim,ah-kim,apkîm,押金,押金,押金
129,ap-kûng-sâng,ap-kûng-sâng,ap6-kung1-sang1,[ap̚˨] [kuŋ˨˦] [saŋ˨˦],ahkang siaⁿ,ah-kang siaⁿ,apkûng sâng,鴨公聲,鴨公聲,聲音粗濁
130,ap-li̍t,ap-li̍t,ap6-lit5,[ap̚˨] [lit̚˥],aple̍k,ap-le̍k,apli̍t,壓力,壓力,壓力
131,ap-àû-vòng,ap-àû-vòng,ap6-aû2-vong2,[ap̚˨] [aû˩˩] [ʋoŋ˩˩],Ahbó ông,Ah-bó ông,apmá vòng,鴨mà王,鴨母王,鴨母王
132,ap-pet,ap-pet,ap6-pet6,[ap̚˨] [pet̚˨],appek,ap-pek,appet,壓迫,壓迫,壓迫
133,ap-sung,ap-sung,ap6-sung4,[ap̚˨] [suŋ˥˥],ahsàng,ah-sàng,apsung,押送,押送,押送
134,ap-vang,ap-vang,ap6-vang4,[ap̚˨] [ʋaŋ˥˥],si aple̍k,si ap-le̍k,apvang,壓橫,施壓力,由上而下施加壓力
135,at-sí,at-sí,at6-si3,[at̚˨] [ɕi˧˩],khìsí,khì-sí,atsí,閼死,氣死,氣死
136,at-to,at-to,at6-to4,[at̚˨] [to˥˥],khì kah,khì kah,atto,閼到,氣kah,氣到
137,âu-hâ-hi,âu-hâ-hi,au1-ha1-hi4,[au˨˦] [ha˨˦] [hi˥˥],naih lo̍h khì,naih lo̍h khì,âu hâhi,凹下去,凹落去,凹下去
138,áu-hâ-lòi,áu-hâ-lòi,au3-ha1-loi2,[au˧˩] [ha˨˦] [loi˩˩],áu lo̍h lâi,áu lo̍h lâi,áu hâlòi,拗下來,拗落來,摘取
139,âu-màn,âu-màn,au1-man2,[au˨˦] [man˩˩],áubân,áu-bân,âumàn,拗蠻,拗蠻,相當/非常
140,áu-thet,áu-thet,au3-thet6,[au˧˩] [tʰet̚˨],áu tiāu,áu tiāu,áu thet,拗掉,拗掉,折掉
141,áu-thôn,áu-thôn,au3-thon1,[au˧˩] [tʰon˨˦],áu tn̄g,áu tn̄g,áu thôn,拗斷,拗斷,折斷
142,áu-vân,áu-vân,au3-van1,[au˧˩] [ʋan˨˦],áu oan,áu oan,áu vân,拗彎,拗彎,折彎
143,áu-yêu,áu-yêu,au3-yeu1,[au˧˩] [ieu˨˦],àⁿ io,àⁿ io,áu yêu,彎腰,àⁿ腰,彎腰
144,bî-bî-é,bî-bî-é,bi1-bi1-e3,[bi˨˦] [bi˨˦] [e˧˩],pipi'á,pi-pi-á,bîbî'é,嗶嗶é,pipi'á,笛子
145,cha-châu-lòi,cha-châu-lòi,cha4-chau1-loi2,[tsa˥˥] [tsau˨˦] [loi˩˩],chà ta,chà ta,chachâulòi,榨燥來,搾ta,榨乾水分
146,cha-chhut,cha-chhut,cha4-chhut6,[tsa˥˥] [tsʰut̚˨],chà chhut,chà chhut,chachhut,榨出,榨出,榨出
147,cha-chiú-chhṳ̀,cha-chiú-chhṳ̀,cha4-chiu3-chhii2,[tsa˥˥] [tɕiu˧˩] [tsʰɨ˩˩],chàchiú tî,chà-chiú tî,chachiúchhṳ̀,醡酒池,醡酒池,醡酒池
148,châ-é,châ-é,cha1-e3,[tsa˨˦] [e˧˩],sòaⁿ,sòaⁿ,châ'é,遮é,傘,傘
149,châ-é-kut,châ-é-kut,cha1-e3-kut6,[tsa˨˦] [e˧˩] [kut̚˨],sòaⁿ kut,sòaⁿ kut,châ'é kut,遮é骨,傘骨,傘骨
150,châ-hiûng,châ-hiûng,cha1-hiung1,[tsa˨˦] [hiuŋ˨˦],jia heng,jia heng,châ hiûng,遮胸,遮胸,遮胸
151,châ-hó,châ-hó,cha1-ho3,[tsa˨˦] [ho˧˩],jia hó,jia hó,châ hó,遮好,遮好,遮好
152,châ-im,châ-im,cha1-im4,[tsa˨˦] [im˥˥],nahliâng,nah-liâng,châ'im,遮蔭,納涼,乘涼
153,châ-kak,châ-kak,cha1-kak6,[tsa˨˦] [kak̚˨],jiakeh,jia-keh,châkak,遮隔,遮隔,遮隔
154,cha-khî,cha-khî,cha4-khi1,[tsa˥˥] [kʰi˨˦],chàkhi,chàk-hi,chakhî,詐欺,詐欺,詐欺
155,châ-khièn,châ-khièn,cha1-khien2,[tsa˨˦] [kʰien˩˩],lia̍h koân,lia̍h koân,châ khièn,抓權,抓權,抓權
156,châ-kiok,châ-kiok,cha1-kiok6,[tsa˨˦] [kiok̚˨],jia kha,jia kha,châ kiok,遮腳,遮腳,遮腳
157,châ-koi,châ-koi,cha1-koi4,[tsa˨˦] [koi˥˥],jiakhàm,jiak-hàm,châkoi,遮蓋,遮蓋,遮蓋
158,cha-kû,cha-kû,cha4-ku1,[tsa˥˥] [ku˨˦],chiàko͘,chià-ko͘,chakû,鷓鴣,鷓鴣,鷓鴣
159,châ-liòng,châ-liòng,cha1-liong2,[tsa˨˦] [lioŋ˩˩],jialiâng,jia-liâng,châliòng,遮涼,遮涼,遮涼
160,cha-m̀-tî,cha-m̀-tî,cha4-m2-ti1,[tsa˥˥] [m˩˩] [ti˨˦],ké m̄ chai,ké m̄ chai,cham̀tî,詐毋知,ké m̄知,裝傻
161,châ-mân,châ-mân,cha1-man1,[tsa˨˦] [man˨˦],jia móa,jia móa,châ mân,遮滿,遮滿,遮滿
162,châ-mien,châ-mien,cha1-mien4,[tsa˨˦] [mien˥˥],jia bīn,jia bīn,châ mien,遮面,遮面,遮面
163,cha-ngí-lûng,cha-ngí-lûng,cha4-ngi3-lung1,[tsa˥˥] [ɲi˧˩] [luŋ˨˦],ké chhàuhīⁿ lâng,ké chhàu-hīⁿ lâng,cha ngílûng,詐耳聾,假臭耳人,裝耳背
164,cha-ngi̍p,cha-ngi̍p,cha4-ngip5,[tsa˥˥] [ɲip̚˥],chà ji̍p,chà ji̍p,changi̍p,搾入,搾入,搾入
165,châ-ngit,châ-ngit,cha1-ngit6,[tsa˨˦] [ɲit̚˨],jia ji̍t,jia ji̍t,châ ngit,遮日,遮日,遮日
166,châ-ngit-thèu,châ-ngit-thèu,cha1-ngit6-theu2,[tsa˨˦] [ɲit̚˨] [tʰeu˩˩],jia ji̍tthâu,jia ji̍t-thâu,châ ngitthèu,遮日頭,遮日頭,遮太陽
167,cha-phien,cha-phien,cha4-phien4,[tsa˥˥] [pʰien˥˥],chàphiàn,chàp-hiàn,chaphien,詐騙,詐騙,詐騙
168,cha-sí,cha-sí,cha4-si3,[tsa˥˥] [ɕi˧˩],chà sí,chà sí,cha sí,詐死,詐死,裝死
169,châ-siû-fi,châ-siû-fi,cha1-siu1-fi4,[tsa˨˦] [ɕiu˨˦] [fi˥˥],sé mn̂ghong,sé mn̂g-hong,châsiûfi,遮羞費,洗門風,遮羞費
170,cha-sû,cha-sû,cha4-su1,[tsa˥˥] [su˨˦],ké su,ké su,chasû,詐輸,假輸,假裝輸
171,châ-sṳ̂n,châ-sṳ̂n,cha1-siin1,[tsa˨˦] [sɨn˨˦],jia sin,jia sin,châ sṳ̂n,遮身,遮身,遮身
172,châ-tén,châ-tén,cha1-ten3,[tsa˨˦] [ten˧˩],jia leh,jia leh,châ tén,遮著,遮leh,遮著
173,cha-thàn,cha-thàn,cha4-than2,[tsa˥˥] [tʰan˩˩],chàtôaⁿ,chàt-ôaⁿ,chathàn,炸彈,炸彈,炸彈
174,châ-thet,châ-thet,cha1-thet6,[tsa˨˦] [tʰet̚˨],jia tiāu,jia tiāu,châ thet,遮忒,遮tiāu,遮掉
175,châ-thi,châ-thi,cha1-thi4,[tsa˨˦] [tʰi˥˥],jia tē,jia tē,châ thi,遮地,遮地,遮地
176,châ-thiên,châ-thiên,cha1-thien1,[tsa˨˦] [tʰien˨˦],jia thiⁿ,jia thiⁿ,châ thiên,遮天,遮天,遮天
177,cha-tiên,cha-tiên,cha4-tien1,[tsa˥˥] [tien˨˦],ké siáu,ké siáu,chatiên,詐癲,假siáu,假裝瘋癲
178,châ-to,châ-to,cha1-to4,[tsa˨˦] [to˥˥],jia kah,jia kah,châ to,遮到,遮kah,遮到
179,châ-tó,châ-tó,cha1-to3,[tsa˨˦] [to˧˩],jia tio̍h,jia tio̍h,châ tó,遮到,遮tio̍h,遮到
180,cha-yi,cha-yi,cha4-yi4,[tsa˥˥] [i˥˥],ké beh,ké beh,chayi,詐意,假beh,假裝
