ID,Hakfa_FHL_Unicode,PFS_Unicode,PFS_Numeric,Hakfa_IPA,Taigi_FHL_Unicode,POJ_Unicode,Hanzi,Hakfa_HanLo,Taigi_HanLo,Hua-gi
14974,van-kîm,van-kîm,van4-kim1,[ʋan˥˥] [kim˨˦],bān kim,bān kim,van kîm,萬金,萬金,萬金
14975,Van-kîm-chông,Van-kîm-chông,Van4-kim1-chong1,[ʋan˥˥] [kim˨˦] [tsoŋ˨˦],Bānkim chng,Bān-kim chng,Vankîm chông,萬金庄,萬金庄,萬金庄（屏東ê地名）
14976,van-kiûn,van-kiûn,van4-kiun1,[ʋan˥˥] [kiun˨˦],bān kun,bān kun,van kiûn,萬軍,萬軍,萬軍
14977,vân-ko-lòi,vân-ko-lòi,van1-ko4-loi2,[ʋan˨˦] [ko˥˥] [loi˩˩],oan kòe lâi,oan kòe lâi,vân kolòi,彎過來,彎過來,彎過來
14978,van-koet,van-koet,van4-koet6,[ʋan˥˥] [koet̚˨],bānkok,bān-kok,vankoet,萬國,萬國,萬國
14979,van-kon,van-kon,van4-kon4,[ʋan˥˥] [kon˥˥],bānkoàn,bān-koàn,vankon,萬貫,萬貫,萬貫
14980,van-kú,van-kú,van4-ku3,[ʋan˥˥] [ku˧˩],bānkó͘,bān-kó͘,vankú,萬古,萬古,年代久遠
14981,vàn-kûng,vàn-kûng,van2-kung1,[ʋan˩˩] [kuŋ˨˦],oânkang,oân-kang,vànkûng,完工,完工,完工
14982,van-liông,van-liông,van4-liong1,[ʋan˥˥] [lioŋ˨˦],bān niú,bān niú,van liông,萬兩,萬兩,萬兩
14983,vân-lu,vân-lu,van1-lu4,[ʋan˨˦] [lu˥˥],oan lō͘,oan lō͘,vân lu,彎路,彎路,彎路
14984,van-mâ,van-mâ,van4-ma1,[ʋan˥˥] [ma˨˦],bān bé,bān bé,van mâ,萬馬,萬馬,萬馬
14985,Van-màn,Van-màn,Van4-man2,[ʋan˥˥] [man˩˩],Bānloân,Bān-loân,Vanmàn,萬巒,萬巒,萬巒（地名）
14986,van-miàng,van-miàng,van4-miang2,[ʋan˥˥] [miaŋ˩˩],bān miâ,bān miâ,van miàng,萬名,萬名,萬名
14987,van-mìn,van-mìn,van4-min2,[ʋan˥˥] [min˩˩],bānbîn,bān-bîn,vanmìn,萬民,萬民,萬民
14988,van-nèn,van-nèn,van4-nen2,[ʋan˥˥] [nen˩˩],bānlêng,bān-lêng,vannèn,萬能,萬能,萬能
14989,van-ngièn,van-ngièn,van4-ngien2,[ʋan˥˥] [ɲien˩˩],bānnî,bān-nî,vanngièn,萬年,萬年,萬年
14990,vàn-ngien,vàn-ngien,van2-ngien4,[ʋan˩˩] [ɲien˥˥],hênggoān,hêng-goān,vànngien,還願,還願,還願
14991,van-ngièn-chhiâng,van-ngièn-chhiâng,van4-ngien2-chhiang1,[ʋan˥˥] [ɲien˩˩] [tɕʰiaŋ˨˦],bānnîchheng,bān-nî-chheng,vanngiènchhiâng,萬年青,萬年青,萬年青
14992,vàn-ngien-chi,vàn-ngien-chi,van2-ngien4-chi4,[ʋan˩˩] [ɲien˥˥] [tɕi˥˥],hênggoān chè,hêng-goān chè,vànngien chi,還願祭,還願祭,還願祭
14993,van-ngìn,van-ngìn,van4-ngin2,[ʋan˥˥] [ɲin˩˩],bān lâng,bān lâng,van ngìn,萬人,萬人,萬人
14994,van-ok,van-ok,van4-ok6,[ʋan˥˥] [ok̚˨],bānok,bā-nok,vanok,萬惡,萬惡,萬惡
14995,van-pân,van-pân,van4-pan1,[ʋan˥˥] [pan˨˦],bānpoaⁿ,bān-poaⁿ,vanpân,萬般,萬般,萬般
14996,van-chhong-kô-leù,van-chhong-kô-lèu,van4-chhong4-ko1-leu2,[ʋan˥˥] [tsʰoŋ˥˥] [ko˨˦] [leu˩˩],bāntn̄g koânlâu,bān-tn̄g koân-lâu,vanchhong kôleù,萬丈高樓,萬丈koân樓,萬丈高樓
14997,van-pâng,van-pâng,van4-pang1,[ʋan˥˥] [paŋ˨˦],bānpang,bān-pang,vanpâng,萬邦,萬邦,萬邦
14998,Van-san-yà,Van-san-yà,Van4-san4-ya2,[ʋan˥˥] [san˥˥] [ia˩˩],Iúeng kong,Iú-eng kong,Vansan yà,萬善爺,有應公,萬善爺
14999,van-siong,van-siong,van4-siong4,[ʋan˥˥] [ɕioŋ˥˥],bānsiōng,bān-siōng,vansiong,萬象,萬象,萬象
15000,van-soi,van-soi,van4-soi4,[ʋan˥˥] [soi˥˥],bānsòe,bān-sòe,vansoi,萬歲,萬歲,萬歲
15001,van-sṳ,van-sṳ,van4-sii4,[ʋan˥˥] [sɨ˥˥],bānsū,bān-sū,vansṳ,萬事,萬事,萬事
15002,van-sṳ,van-sṳ,van4-sii4,[ʋan˥˥] [sɨ˥˥],bānsè,bān-sè,vansṳ,萬世,萬世,萬世
15003,van-sṳn,van-sṳn,van4-siin4,[ʋan˥˥] [sɨn˥˥],bānsèng,bān-sèng,vansṳn,萬聖,萬聖,萬聖
15004,van-sṳ̀n,van-sṳ̀n,van4-siin2,[ʋan˥˥] [sɨn˩˩],bān sîn,bān sîn,van sṳ̀n,萬神,萬神,萬神
15005,vàn-sṳ̀n,vàn-sṳ̀n,van2-siin2,[ʋan˩˩] [sɨn˩˩],oânsêng,oân-sêng,vànsṳ̀n,完成,完成,完成
15006,vàn-sṳ̀n,vàn-sṳ̀n,van2-siin2,[ʋan˩˩] [sɨn˩˩],hêng sîn,hêng sîn,vàn sṳ̀n,還神,還神,酬神還願
15007,hò-làn-theu,hò-làn-theu,ho2-lan2-theu4,[ho˩˩] [lan˩˩] [tʰeu˥˥],hôliântāu,hô-liân-tāu,hòlàntheu,荷蘭豆,荷蘭豆,豌豆
15008,van-thoi,van-thoi,van4-thoi4,[ʋan˥˥] [tʰoi˥˥],bāntāi,bān-tāi,vanthoi,萬代,萬代,萬代
15009,vân-vân,vân-vân,van1-van1,[ʋan˨˦] [ʋan˨˦],oanoan,oan-oan,vânvân,彎彎,彎oan,彎曲
15010,van-van-ngièn,van-van-ngièn,van4-van4-ngien2,[ʋan˥˥] [ʋan˥˥] [ɲien˩˩],bānbān nî,bān-bān nî,vanvanngièn,萬萬年,萬萬年,萬萬年
15011,vân-vat,vân-vat,van1-vat6,[ʋan˨˦] [ʋat̚˨],oanoat,oan-oat,vânvat,彎斡,彎oat,彎轉
15012,vàn-voi,vàn-voi,van2-voi4,[ʋan˩˩] [ʋoi˥˥],iáu ē,iáu ē,vàn voi,還會（南四縣）,iáu ē,還會
15013,van-vòng,van-vòng,van4-vong2,[ʋan˥˥] [ʋoŋ˩˩],bān ông,bān ông,van vòng,萬王,萬王,萬王
15014,van-vòng-ke-vòng,van-vòng-ke-vòng,van4-vong2-ke4-vong2,[ʋan˥˥] [ʋoŋ˩˩] [ke˥˥] [ʋoŋ˩˩],bān ông chi ông,bān ông chi ông,van vòng ke vòng,萬王ke王,萬王之王,萬王之王
15015,van-vu̍t,van-vu̍t,van4-vut5,[ʋan˥˥] [ʋut̚˥],bān bu̍t,bān bu̍t,vanvu̍t,萬物,萬物,萬物
15016,vân-yêu,vân-yêu,van1-yeu1,[ʋan˨˦] [ieu˨˦],oan io,oan io,vân yêu,彎腰,彎腰,彎腰
15017,yêu-khiàm-poi-tiau,yêu-khiàm-poi-tiau,yeu1-khiam2-poi4-tiau4,[ieu˨˦] [kʰiam˩˩] [poi˥˥] [tiau˥˥],iosng kutthiàⁿ,io-sng kut-thiàⁿ,yêukhiàm poitiau,腰拑背吊,腰酸骨痛,勞累不堪
