ID,Hakfa_FHL_Unicode,Hanzi,Hakfa_HanLo,Taigi_FHL_Unicode,Taigi_HanLo,Hua-gi
1,á-chṳ̂,áchṳ̂,啞chṳ̂,ékáu,啞口,啞巴
2,Â-chû,Âchû,亞洲,Achiu,亞洲,亞洲
3,â-khiû,â'khiû,阿舅,a'kū,阿舅,舅舅
4,â-khóa,âkhóa,椏桍,kioe,枝椏,枝椏
5,á-kiéu,ákiéu,啞狗,ékáu,啞口,啞巴
6,â-kô,âkô,阿哥,a'hiaⁿ,阿兄,哥哥
7,â-kô-é,â'kô'é,阿哥é,siàuliânke,少年家,年輕的男子
8,â-kû,â'kû,阿姑,a'ko͘,阿姑,姑姑
9,â-kûng,âkûng,阿公,a'kong,阿公,祖父
10,â-kûng-phò,âkûngphò,阿公婆,chó͘sian,祖先,祖先
11,â-kûng-phò-phài,âkûngphò phài,阿公婆牌,kongmá pâi,公媽牌,祖先牌位
12,Â-lî-sân,Âlîsân,阿里山,Alísan,阿里山,阿里山
13,á-mà,ámà,亞麻,amôa,亞麻,亞麻
14,â-mê,âmê,阿姆,lāubú,老母,母親
15,â-mê-fa,âmêfa,阿姆話,bógí,母語,母語
16,â-mê-ôi,â'mê ôi,阿姆ôi,an'niâ oeh,安娘oeh,我的媽呀
17,â-mén,âmén,阿們,amén,阿們,阿們
18,â-mí-kâ,âmíkâ,亞米茄,omega,亞米茄,亞米茄
19,â-moi,âmoi,阿妹,siómōe,小妹,妹妹
20,â-moi-é,â'moi'é,阿妹é,siàulú,少女,"""年輕的女孩"
21,â-ngì-fap,ângìfap,阿爾法,alhoah,阿爾法,阿爾法
22,â-ô,â-ô,啊噢,ai-ioh,ai-ioh,唉呦
23,â-pâ,â'pâ,阿爸,a'pa,阿爸,爸爸
24,â-pak,â'pak,阿伯,a'peh,阿伯,伯父
25,â-phò,â'phò,阿婆,a'má,阿媽,祖母
26,â-phò-thai,â'phòthai,阿婆太,a'thài,阿太,曾祖母
27,â-pu̍t-to,âpu̍tto,阿pu̍t倒,aputtó'á,阿不倒á,不倒翁
28,â-só,â'só,阿嫂,a'só,阿嫂,嫂嫂
29,â-suk,â'suk,阿叔,a'chek,阿叔,叔叔
30,â-thai,âthai,阿太,a'thài,阿太,曾祖
31,â-yì,â'yì,阿姨,a'î,阿姨,阿姨
32,âi,âi,挨,e óa,挨óa,靠近
33,ái-châi,áichâi,唉哉,aichai,哀哉,唉哉
34,âi-châi,âichâi,唉哉,aichai,哀哉,唉哉
35,ái-chhiòng,ái chhiòng,矮牆,é chhiûⁿ,矮牆,矮牆
36,ái-chok,ái chok,矮桌,é toh'á,矮桌,矮桌
37,ai-héu,aihéu,隘口,àikháu,隘口,隘口
38,âi-hièn-é,âihièn'é,挨弦é,e hiân'á,挨弦á,拉胡琴
39,âi-kiâm-lòi,âikiâm lòi,挨兼來,kho͘ óa lâi,靠óa lâi,靠近
40,âi-lùng,âi lùng,挨礱（海陸）,e thô͘lâng,挨土礱,碾榖
41,ái-se,áise,矮細,ékó͘,矮股,身材矮小
42,ái-su,ái su,矮樹,é chhiū,矮樹,矮樹
43,ái-tún,áitún,矮頓,é kó͘tóng,矮股董,身材矮胖
44,ái-tut-tut,ái tuttut,矮tut-tut,é tuhtuh,矮tuhtuh,矮小
45,âi-yô,âi-yô,哀喲,ai-ioh,哀喲,哀喲
46,ai-yúng,aiyúng,隘勇,àiióng,隘勇,守隘口的壯丁
47,ak-sú,aksú,扼手,at chhiú,at手,握手
48,am-chhà,amchhà,暗查,àmchhâ,暗查,暗查
49,am-chhôn,amchhôn,暗餐,àmtǹg,暗頓,晚餐
50,am-chûng,amchûng,暗中,àmtiong,暗中,暗中
51,am-fóng,amfóng,暗訪,àmhóng,暗訪,暗訪
52,am-ho,amho,暗號,àmhō,暗號,暗號
53,âm-kông,âmkông,醃缸,amkng,am缸,醃缸
54,am-phu,amphu,暗步,àmpō͘,暗步,詭計
55,am-pû,ampû,暗晡,êngàm,êng暗,晚上
56,am-pû-sṳ̀,ampûsṳ̀,暗晡時,àmsî'á,暗時á,晚上
57,am-pû-thèu,ampûthèu,暗晡頭,àmthâu'á,暗頭á,晚上
58,am-sat,amsat,暗殺,àmsat,暗殺,暗殺
59,am-son,amson,暗算,àmsǹg,暗算,暗算
60,am-sṳ,amsṳ,暗示,àmsī,暗示,暗示
61,am-thet,amthet,暗掉,àm khì,暗去,暗掉
62,am-ya,amya,暗夜,àmmê,暗暝,晚上
63,án-chhàu,án chhàu,án吵,hiah chhá,hiah吵,那麼吵
64,án-chheu,án chheu,án瘦,hiah sán,hiah瘦,那麼瘦
65,án-chhòng,án chhòng,án長,hiah tn̂g,hiah長,那麼長
66,án-chhû,án chhû,án粗,hiah chho͘,hiah粗,那麼粗
67,án-chhṳ̂m,án chhṳ̂m,án深,hiah chhim,hiah深,那麼深
68,án-chhûng,án chhûng,án重,hiah tāng,hiah重,那麼重
69,án-chhṳ̍t,án chhṳ̍t,án直,hiah ti̍t,hiah直,那麼直
70,án-chiâng,án chiâng,án靚,hiah súi,hiah súi,那麼漂亮
71,án-chó,án chó,án早,gâu chá,gâu早,早安
72,án-chṳ́-se,ánchṳ́se,án仔細,ló͘la̍t,ló͘la̍t,謝謝
73,án-fái,án fái,án壞,hiah hāi,hiah害,那麼壞
74,án-fat,án fat,án闊,hiah khoah,hiah闊,那麼寬
75,án-fùng,án fùng,án紅,hiah âng,hiah紅,那麼紅
76,án-hióng,án hióng,án響,hiah hiáng,hiah響,那麼響
77,án-hiông,án hiông,án香,hiah phang,hiah芳,那麼香
78,án-hó,án hó,án好,hiah hó,hiah好,那麼好
79,án-kám,án kám,án敢,hiah káⁿ,hiah敢,那麼敢
80,án-khioi,án khioi,ánkhioi,hiah thiám,hiah thiám,那麼累
81,án-khiòng,án khiòng,án強,hiah kiông,hiah強,那麼強
82,án-khiûn,án khiûn,án近,hiah kīn,hiah近,那麼近
83,án-kiak,án kiak,án遽,hiah kín,hiah緊,那麼快
84,án-kiâng,án kiâng,án驚,hiah kiaⁿ,hiah驚,那麼怕
85,án-kiú,án kiú,án久,hiah kú,hiah久,那麼久
86,án-kiú hó-mò,ánkiú hómò,恁久好無,chòekīn hó bô,最近好無,近來好嗎
87,án-kiú mò-khon-tó,ánkiú mò khontó,恁久無看到,chin kú bô kìⁿbīn,好久不見,好久不見
88,án-kô,án kô,án高,hiah koân,hiah koân,那麼高
89,án-kông,án kông,án光,hiah kng,hiah光,那麼亮
90,án-kui,án kui,án貴,hiah kùi,hiah貴,那麼貴
91,án-lat,án lat,án炙,hiah joa̍h,hiah熱,那麼炎熱
92,án-li,án li,án利,hiah lāi,hiah利,那麼利
93,án-ló,án ló,án老,hiah lāu,hiah老,那麼老
94,án-man,án man,án慢,hiah bān,hiah慢,那麼慢
95,án-nàn,án nàn,án難,hiah oh,hiah oh,那麼難
96,án-nâu,án nâu,án惱,hiah hoân,hiah煩,那麼討厭
97,án-ngang,án ngang,án硬,hiah ngē,hiah硬,那麼硬
98,án-ngiàm,án ngiàm,án嚴,hiah giâm,hiah嚴,那麼嚴格
99,án-ngio̍k,án ngio̍k,án弱,hiah lám,hiah lám,那麼弱
100,án-ngióng,ánngióng,án樣,ánne,ánne,這樣
101,án-ngong,án ngong,án戇,hiah gōng,hiah戇,那麼笨
102,án-ok,án ok,án惡,hiah hiông,hiah hiông,那麼兇惡
103,án-pha̍k,án pha̍k,án白,hiah pe̍h,hiah白,那麼白
104,án-phì,án phì,án肥,hiah pûi,hiah肥,那麼肥
105,án-se,án se,án細,hiah sè,hiah細,那麼細
106,án-séu,án séu,án少,hiah chió,hiah少,那麼少
107,án-sîn,án sîn,án新,hiah sin,hiah新,那麼新
108,án-sôi,án sôi,án衰,hiah soe,hiah衰,那麼倒楣
109,án-sùn,án sùn,án純,hiah sûn,hiah純,那麼純
110,án-thai,án thai,án大,hiah tōa,hiah大,那麼大
111,án-thiám,án thiám,án痶,hiah thiám,hiah thiám,那麼累
112,án-thiàm,án thiàm,án甜,hiah tiⁿ,hiah甜,那麼甜
113,án-thu̍k,án thu̍k,án毒,hiah to̍k,hiah毒,那麼毒
114,án-thun,án thun,án鈍,hiah tun,hiah鈍,那麼鈍
115,án-thung,án thung,án痛,hiah thiàⁿ,hiah痛,那麼痛
116,án-tô,án tô,án多,hiah chē,hiah chē,那麼多
117,án-voi,án voi,án會,hiah gâu,hiah gâu,那麼會
118,án-vû,án vû,án烏,hiah o͘,hiah烏,那麼黑
119,án-yén,án yén,án遠,hiah hn̄g,hiah遠,那麼遠
120,án-nun,án nun,án嫩,hiah iù,hiah幼,那麼幼小
121,âng-é,âng'é,盎é,àng'á,甕á,甕
122,âng-é-nài,âng'é nài,盎é泥,liâmthô͘,黏土,黏土
123,âng-tú,âng tú,甕肚,àng'á lāi,甕á內,甕裡
124,ap-chhiâng,apchhiâng,鴨青,iùkhí,幼齒,年輕未成熟的
125,ap-chiú-chhṳ̀,apchiúchhṳ̀,壓酒池,ap chiútî,壓酒池,壓酒池
126,ap-chṳ,apchṳ,壓制,apchè,壓制,壓制
127,ap-é,ap'é,鴨é,ah'á,鴨á,鴨子
128,ap-kîm,apkîm,押金,ahkim,押金,押金
129,ap-kûng-sâng,apkûng sâng,鴨公聲,ahkang siaⁿ,鴨公聲,聲音粗濁
130,ap-li̍t,apli̍t,壓力,aple̍k,壓力,壓力
131,ap-àû-vòng,apmá vòng,鴨mà王,Ahbó ông,鴨母王,鴨母王
132,ap-pet,appet,壓迫,appek,壓迫,壓迫
133,ap-sung,apsung,押送,ahsàng,押送,押送
134,ap-vang,apvang,壓橫,si aple̍k,施壓力,由上而下施加壓力
135,at-sí,atsí,閼死,khìsí,氣死,氣死
136,at-to,atto,閼到,khì kah,氣kah,氣到
137,âu-hâ-hi,âu hâhi,凹下去,naih lo̍h khì,凹落去,凹下去
138,áu-hâ-lòi,áu hâlòi,拗下來,áu lo̍h lâi,拗落來,摘取
139,âu-màn,âumàn,拗蠻,áubân,拗蠻,相當/非常
140,áu-thet,áu thet,拗掉,áu tiāu,拗掉,折掉
141,áu-thôn,áu thôn,拗斷,áu tn̄g,拗斷,折斷
142,áu-vân,áu vân,拗彎,áu oan,拗彎,折彎
143,áu-yêu,áu yêu,彎腰,àⁿ io,àⁿ腰,彎腰
144,bî-bî-é,bîbî'é,嗶嗶é,pipi'á,pipi'á,笛子
145,cha-châu-lòi,chachâulòi,榨燥來,chà ta,搾ta,榨乾水分
146,cha-chhut,chachhut,榨出,chà chhut,榨出,榨出
147,cha-chiú-chhṳ̀,chachiúchhṳ̀,醡酒池,chàchiú tî,醡酒池,醡酒池
148,châ-é,châ'é,遮é,sòaⁿ,傘,傘
149,châ-é-kut,châ'é kut,遮é骨,sòaⁿ kut,傘骨,傘骨
150,châ-hiûng,châ hiûng,遮胸,jia heng,遮胸,遮胸
151,châ-hó,châ hó,遮好,jia hó,遮好,遮好
152,châ-im,châ'im,遮蔭,nahliâng,納涼,乘涼
153,châ-kak,châkak,遮隔,jiakeh,遮隔,遮隔
154,cha-khî,chakhî,詐欺,chàkhi,詐欺,詐欺
155,châ-khièn,châ khièn,抓權,lia̍h koân,抓權,抓權
156,châ-kiok,châ kiok,遮腳,jia kha,遮腳,遮腳
157,châ-koi,châkoi,遮蓋,jiakhàm,遮蓋,遮蓋
158,cha-kû,chakû,鷓鴣,chiàko͘,鷓鴣,鷓鴣
159,châ-liòng,châliòng,遮涼,jialiâng,遮涼,遮涼
160,cha-m̀-tî,cham̀tî,詐毋知,ké m̄ chai,ké m̄知,裝傻
161,châ-mân,châ mân,遮滿,jia móa,遮滿,遮滿
162,châ-mien,châ mien,遮面,jia bīn,遮面,遮面
163,cha-ngí-lûng,cha ngílûng,詐耳聾,ké chhàuhīⁿ lâng,假臭耳人,裝耳背
164,cha-ngi̍p,changi̍p,搾入,chà ji̍p,搾入,搾入
165,châ-ngit,châ ngit,遮日,jia ji̍t,遮日,遮日
166,châ-ngit-thèu,châ ngitthèu,遮日頭,jia ji̍tthâu,遮日頭,遮太陽
167,cha-phien,chaphien,詐騙,chàphiàn,詐騙,詐騙
168,cha-sí,cha sí,詐死,chà sí,詐死,裝死
169,châ-siû-fi,châsiûfi,遮羞費,sé mn̂ghong,洗門風,遮羞費
170,cha-sû,chasû,詐輸,ké su,假輸,假裝輸
171,châ-sṳ̂n,châ sṳ̂n,遮身,jia sin,遮身,遮身
172,châ-tén,châ tén,遮著,jia leh,遮leh,遮著
173,cha-thàn,chathàn,炸彈,chàtôaⁿ,炸彈,炸彈
174,châ-thet,châ thet,遮忒,jia tiāu,遮tiāu,遮掉
175,châ-thi,châ thi,遮地,jia tē,遮地,遮地
176,châ-thiên,châ thiên,遮天,jia thiⁿ,遮天,遮天
177,cha-tiên,chatiên,詐癲,ké siáu,假siáu,假裝瘋癲
178,châ-to,châ to,遮到,jia kah,遮kah,遮到
179,châ-tó,châ tó,遮到,jia tio̍h,遮tio̍h,遮到
180,cha-yi,chayi,詐意,ké beh,假beh,假裝
181,châ-yîm,châ yîm,遮蔭,jia iáⁿ,遮影,遮蔭
182,chai-chú,chaichú,債主,chèchú,債主,債主
183,châi-chung,châichung,栽種,chaichèng,栽種,栽種
184,chai-fi,chaifi,再會,chàihōe,再會,再會
185,châi-fo,châifo,災禍,chaihō,災禍,災禍
186,châi-fo,châifo,災禍,chaihō,災禍,災難
187,chai-fûn,chaifûn,再婚,chài hun,再婚,再婚
188,chai-mâi,chai mâi,再買,koh chài bé,koh再買,再買
189,chai-hi,chaihi,再去,chài khì,再去,再去
190,chai-hí,chaihí,再起,chài khí,再起,再起
191,chai-hióng,chaihióng,再響,chài hiáng,再響,再響
192,châi-hoi,châihoi,災害,chaihāi,災害,災害
193,chai-kâ,chaikâ,再加,koh ke,koh加,再加
194,châi-kie,châikie,齋戒,chaikài,齋戒,齋戒
195,chai-kien,chaikien,再見,chàikiàn,再見,再見
196,chai-ko,chaiko,再過,koh chi̍t pái,koh一pái,再一次
197,chai-kóng,chaikóng,再講,chàikóng,再講,再講
198,chai-lòi,chailòi,再來,kohchài lâi,koh再來,再來
199,chai-mân,chaimân,載滿,chài móa,載滿,載滿
200,châi-mìn,châimìn,災民,chaibîn,災民,災民
201,châi-nan,châinan,災難,chailān,災難,災難
202,châi-nan-kuk,châinankuk,災難谷,chailān kok,災難谷,災難谷
203,châi-phì,châiphì,栽培,chaipôe,栽培,栽培
204,chai-sâm,chaisâm,再三,chài saⁿ,再三,再三
205,chái-siong,cháisiong,宰相,cháisiòng,宰相,宰相
206,chai-tén,chaitén,載著,teh chài,teh載,載著
207,chai-thâng,chaithâng,再聽,koh chài thiaⁿ,koh再聽,再聽
208,chai-thó,chaithó,再討,koh chài thó,koh再討,再討
209,chai-thô,chaithô,再拖,koh chài thoa,koh再拖,再拖
210,châi-thung,châithung,災痛,chaithiàⁿ,災痛,災痛
211,chai-vu,chaivu,債務,chèbū,債務,債務
212,chai-yit-pái,chaiyitpái,再一擺,koh chi̍t pái,koh一pái,再一次
213,châi-yông,châiyông,災殃,chaiiong,災殃,災殃
214,chai-yû,chaiyû,再有,koh chài ū,koh再有,再有
215,chak-chak,chakchak,隻隻,ta̍k chiah,ta̍k隻,每隻
216,chak-chhà,chak chhà,炙茶,hiâⁿ tê,hiâⁿ茶,煮茶
217,chak-chhiang,chakchhiang,摘淨,tiah liáu,摘了,摘完
218,chak-fái,chakfái,磧壞,teh pháiⁿ,teh pháiⁿ,壓壞
219,chak-fó,chak fó,炙火,hóethòaⁿ hóe hang sio,火炭火烘燒,用燒熱的木炭取暖
220,chak-hi,chakhi,摘去,tiah khì,摘去,摘去
221,chak-kâm-é,chakkâm'é,摘柑é,bán kam'á,挽柑á,摘橘子
222,chak-ko,chakko,摘過,tiahkòe,摘過,摘過
223,chak-ngit-thèu,chak ngitthèu,炙日頭,pha̍k ji̍tthâu,pha̍k日頭,曬太陽
224,chak-ngiuk,chakngiuk,炙肉,hangbah,烤肉,烤肉
225,chak-nôn,chak nôn,炙暖,hang sio,烘燒,取暖
226,chak-sí,chaksí,磧死,teh sí,teh死,壓死
227,chak-sui,chaksui,磧碎,teh chhùi,teh碎,壓碎
228,chak-tén,chaktén,磧著,teh tio̍h,teh tio̍h,壓著
229,chak-thet,chakthet,摘掉,tiah tiāu,摘掉,摘掉
230,chak-to,chakto,磧到,teh tio̍h,teh tio̍h,壓到
231,chak-to,chakto,摘到,bán tio̍h,挽tio̍h,摘到
232,chak-tó,chak tó,磧tó,teh tio̍h,teh tio̍h,壓到
233,chak-vang,chakvang,磧橫,teh tó,teh倒,壓倒
234,chám-chhiên-tô,chámchhiêntô,斬千刀,chám chhian to,斬千刀,殺千刀
235,cham-hi,chamhi,佔去,chiàmkhì,佔去,佔去
236,cham-liâng,chamliâng,佔領,chiàmniá,佔領,佔領
237,cham-lòi,chamlòi,佔來,chiàm lâi,佔來,佔來
238,cham-tén,chamtén,佔著,chiàm leh,佔leh,佔著
239,chhâm-tén,chhâm tén,攙等,thèⁿ leh,撐leh,以手掌撐著
240,chám-thet,chámthet,斬掉,chám tiāu,斬掉,斬掉
241,chám-thèu,chámthèu,斬頭,chám thâu,斬頭,砍頭
242,cham-thi,chamthi,佔地,chiàm tē,佔地,佔地
243,chám-thôn,chámthôn,斬斷,chám tn̄g,斬斷,砍斷
244,cham-to,chamto,佔到,chiàm kah,佔kah,佔到
245,cham-tó,chamtó,佔到,chiàm tio̍h,佔tio̍h,佔到
246,chám-yèn,chámyèn,嶄然,chámjiân,嶄然,相當
247,cham-yû,chamyû,佔有,chiàmiú,佔有,佔有
248,chân-chân,chânchân,孱孱,lámsin,lám身,孱弱
249,chan-chên,chanchên,戰爭,chiàncheng,戰爭,戰爭
250,chan-chhâ,chanchhâ,戰車,chiànchhia,戰車,戰車
251,chan-chhòng,chanchhòng,戰場,chiàntiûⁿ,戰場,戰場
252,chan-chhù,chanchhù,棧櫥,óaⁿtû,碗櫥,碗櫥
253,chan-fó,chanfó,戰火,chiànhóe,戰火,戰火
254,chan-hi,chanhi,輾去,lián khì,輾去,輾去
255,chan-hò,chanhò,戰壕,chiànhô,戰壕,戰壕
256,chan-kap,chankap,戰甲,chiànkah,戰甲,戰甲
257,chan-khì,chankhì,戰旗,chiànkî,戰旗,戰旗
258,chan-khôi,chankhôi,碾開,lián khui,lián開,碾開
259,chán-khôi,chánkhôi,展開,thí khui,thí開,展開
260,chan-ki,chanki,戰機,chiànki,戰機,戰機
261,chan-ko,chanko,輾過,lián kòe,輾過,輾過
262,chan-kú,chankú,戰鼓,chiànkó͘,戰鼓,戰鼓
263,chan-kûng,chankûng,戰功,chiànkong,戰功,戰功
264,chan-li-phín,chanliphín,戰利品,chiànlīphín,戰利品,戰利品
265,chan-li̍t,chanli̍t,戰力,chiànle̍k,戰力,戰力
266,chan-lòi,chanlòi,輾來,lián lâi,lián來,輾來
267,chan-lon,chanlon,戰亂,chiànloān,戰亂,戰亂
268,chan-mâ,chanmâ,戰馬,chiànbé,戰馬,戰馬
269,chan-mî,chanmî,讚美,chànbí,讚美,讚美
270,chan-phai,chanphai,戰敗,chiàn pāi,戰敗,戰敗
271,chan-phàu,chanphàu,戰袍,chiànphâu,戰袍,戰袍
272,chan-phiàng,chanphiàng,輾平,lián pêⁿ,lián平,輾平
273,chan-sa̍k-thèu,chansa̍kthèu,輾石頭,lián chio̍hthâu,輾石頭,輾石頭
274,chan-sâm,chansâm,戰衫,chiànsaⁿ,戰衫,戰衣
275,chan-sí,chansí,戰死,chiàn sí,戰死,戰死
276,chan-sòn,chansòn,戰船,chiànchûn,戰船,戰船
277,chan-sṳ,chansṳ,戰士,chiànsū,戰士,戰士
278,chan-sui,chansui,輾碎,lián chhùi,輾碎,輾碎
279,chan-sṳ̀n,chansṳ̀n,贊成,chànsêng,贊成,贊成
280,chan-teu,chanteu,戰鬥,chiàntàu,戰鬥,戰鬥
281,chan-thi,chanthi,戰地,chiàntē,戰地,戰地
282,chan-to,chanto,輾到,lián tio̍h,lián tio̍h,輾到
283,chan-yéng,chanyéng,戰贏,chiàn iâⁿ,戰贏,戰贏
284,chán-yi̍t,chányi̍t,展翼,thí si̍t,thí翼,展翅
285,chan-yòng,chanyòng,讚揚,chàniông,讚揚,讚揚
286,châng-chhâ,chângchhâ,爭差,chengchha,精差,相差
287,chang-chho̍k,changchho̍k,正著/nang著,chiah tio̍h,chiah tio̍h,才對
288,chang-cho-tet,chang chotet,正做得,chiah ē sái,chiah ē sái,才可以
289,chang-he,changhe,正係/nang係,chiah sī,chiah是,才是
290,chang-hó,changhó,正好/nang好,chiah hó,chiah好,才好
291,châng-khièn,châng khièn,爭權,cheng koân,爭權,爭權
292,chang-li̍t,changli̍t,掙力,chīnla̍t,盡力,努力爭取
293,châng-ngie̍t,chângn gie̍t,正月,chiaⁿ goe̍h,正月,正月
294,Chang-ngie̍t-pan,Changngie̍t pan,正月半,Chiaⁿge̍h pòaⁿ,正月半,元宵節
295,châng-sṳ̍t,châng sṳ̍t,爭食,cheⁿ chia̍h,爭食,爭食
296,châng-tén,châng tén,爭著,teh cheⁿ,teh爭,爭著
297,châng-thot,chângthot,掙脫,chengthoat,掙脫,掙脫
298,châng-to,châng to,爭到,cheⁿ kah,爭kah,爭到
299,châng-yéng,châng yéng,爭贏,cheⁿ iâⁿ,爭贏,爭贏
300,chap,chap,砸,chòng,壯,壯
301,chap-chen,chapchen,砸磳,kiôngchòng,強壯,強壯
302,chap-cho,chapcho,摺做,chih chò,摺做,摺做
303,chap-chṳ́,chapchṳ́,摺紙,chih chóa,摺紙,摺紙
304,chap-hó,chaphó,折好,chih hó,折好,折好
305,chat-kón,chat kón,紮稈,khún tiūchháu,捆稻草,綑綁稻草
306,chap-sâm-fu,chapsâmfu,摺衫褲,chih saⁿ'ákhò͘,chih衫á褲,摺衣服
307,chat-yéng,chatyéng,紮營,chat'iâⁿ,紮營,紮營
308,chat-ho̍k-kâ,chatho̍kkâ,哲學家,tiatha̍k ka,哲學家,哲學家
309,châu-châu,châuchâu,燥燥,tasò,ta燥,非常乾燥
310,châu-chhèu,châu chhèu,燥柴,ta chhâ,ta柴,乾柴
311,châu-chhó,châuchhó,燥草,tachháu,ta草,乾草
312,châu-chiáng,châu chiáng,燥井,ta chéⁿ,ta井,乾井
313,châu-hâng,châu hâng,燥坑,ta kheⁿ,ta坑,乾坑
314,châu-hip,châuhip,燥hip,tahip,tahip,乾悶
315,châu-hôn,châuhôn,燥旱,khòngōaⁿ,炕旱,乾旱
316,châu-hot,châuhot,燥渴,takhoah,ta渴,乾渴
317,châu-kón,châu kón,燥稈,ta koáiⁿ,ta稈,乾稈
318,châu-kut,châu kut,燥骨,ta kut,ta骨,枯骨
319,châu-lu,châu lu,燥路,ta lō͘2,ta路,乾路
320,châu-mien,châu mien,燥麵,ta mī,乾麵,乾麵
321,châu-nài,châu nài,燥泥,ta thô͘,ta土,乾泥
322,châu-sí,châu sí,燥死,ta sí,ta死,乾死
323,châu-sî-sî,châusîsî,燥絲絲,ta sòsò,ta sòsò,極為乾燥
324,châu-sóng,châusóng,燥爽,tasóng,ta爽,乾爽
325,châu-tha̍p,châutha̍p,蹧踏,chauthat,蹧踏,蹧踏
326,châu-thet,châu thet,燥忒,ta tiāu,ta tiāu,乾掉
327,châu-thi,châu thi,燥地,ta tē,ta地,乾地
328,cháu-yông,cháuyông,爪癢,jiàu chiūⁿ,抓癢,抓癢
329,ché,ché,奀,bái,bái,醜
330,chém,chém,揝,khap,khap,蓋
331,chém-yin,chémyin,揝印,khapìn,khap印,蓋印章
332,chên-chan,chênchan,爭戰,chengchiàn,爭戰,爭戰
333,chên-chhâi,chênchhâi,爭差,chengchha,精差,相差
334,chên-chhàu,chênchhàu,爭吵,chengchhá,爭吵,爭吵
335,chên-chhí,chênchhí,爭取,chengchhú,爭取,爭取
336,chên-chhióng,chênchhióng,爭搶,cheⁿchhiúⁿ,爭搶,爭搶
337,chen-chóng,chenchóng,增長,chengtióng,增長,增長
338,chen-chṳ,chenchṳ,增志,ū chìkhì,有志氣,爭氣
339,chên-chṳp,chênchṳp,爭執,chengchip,爭執,爭執
340,chen-kâ,chenkâ,增加,chengka,增加,增加
341,chen-kám,chenkám,增減,cheng kiám,增減,增減
342,chên-lun,chênlun,爭論,chenglūn,爭論,爭論
343,chên-nau,chênnau,爭鬧,chengnāu,爭鬧,爭鬧
344,chen-sán,chensán,增產,chengsán,增產,增產
345,chên-siung,chênsiung,爭訟,chengsiōng,爭訟,爭訟
346,chên-sûn,chênsûn,曾孫,chengsun,曾孫,曾孫
347,chen-sung,chensung,贈送,chēngsàng,贈送,贈送
348,chên-teu,chênteu,爭鬥,chengtàu,爭鬥,爭鬥
349,chen-tô,chentô,增多,chengto,增多,增多
350,chên-tôn,chêntôn,爭端,chengtoan,爭端,爭端
351,chet-ho̍k,chetho̍k,哲學,tiatha̍k,哲學,哲學
352,chet-kok,chetkok,側角,kaklo̍h,角落,角落
353,cheu-chhut,cheuchhut,照出,chiò chhut,照出,照出
354,chéu-chhut,chéuchhut,走出,cháu chhut khì,走出去,跑出
355,chêu-chi,chêuchi,朝祭,tiâuchè,朝祭,朝祭
356,chéu-è,chéu è,走了,cháu à,走à,走了
357,chêu-fû,chêufû,招呼,chioho͘,招呼,招呼
358,chéu-hi,chéuhi,走去,cháu khì,走去,跑去
359,chéu-khôi,chéukhôi,走開,cháu khui,走開,跑走
360,chéu-kiéu,chéukiéu,走狗,cháukáu,走狗,走狗
361,chéu-ko,chéuko,走過,cháu kòe,走過,跑過
362,cheu-kông,cheukông,照光,chiòkng,照光,照光
363,cheu-kông-sien,cheu kôngsien,照光線,chiò tiānkong,照電光,照X光
364,cheu-ku,cheuku,照顧,chiàukò͘,照顧,照顧
365,cheu-li,cheuli,照例,chiàu lē,照例,照例
366,Chêu-liâng,Chêuliâng,蕉嶺,Chioniá,蕉嶺（地名）,蕉嶺（地名）
367,cheu-lîn,cheulîn,照輪,lûnliû,輪流,輪流
368,cheu-liong,cheuliong,照亮,chiòliāng,照亮,照亮
369,chéu-lòi,chéulòi,走來,cháu lâi,走來,跑來
370,chêu-lòi,chêu lòi,招來,chio lâi,招來,招來
371,cheu-lùn,cheulùn,照輪,chiàu lûn,照輪,照輪
372,cheu-mìn,cheumìn,照明,chiòbêng,照明,照明
373,cheu-mìn,cheumìn,奏明,chàubêng,—,奏明
374,chêu-mu,chêumu,召募,chiobō͘,召募,召募
375,cheu-ngi̍p,cheungi̍p,照入,chiò ji̍p,照入,照入
376,chéu-ngi̍p,chéungi̍p,走入,cháu ji̍p,走入,跑入
377,cheu-ngo̍k,cheungo̍k,奏樂,chàuga̍k,奏樂,奏樂
378,Cheu-ôn-hak-ngî,Cheuôn hakngî,詔安客語,Chiàuan Khehgí,詔安客語,詔安客語
379,cheu-pán,cheupán,奏板,chàupán,奏板,奏板
380,chéu-pêu,chéupêu,走標,cháupio,走標,跑步運動
381,cheu-phan,cheuphan,照辦,chiàupān,照辦,照辦
382,chêu-phân,chêu phân,招伴,chio phōaⁿ,招伴,招伴
383,chéu-phien,chéuphien,走遍,cháu piàn,走遍,跑遍
384,chêu-pîn,chêu pîn,招兵,chio peng,招兵,招兵
385,cheu-sa,cheusa,照射,chiòsiā,照射,照射
386,sám-chéu,sámchéu,閃走,siámcháu,閃走,走閃
387,cheu-siong,cheusiong,照相,hipsiòng,hip相,照相
388,chéu-siông-kiuk,chéu siôngkiuk,走相逐,cháu siojiok,走相jiok,賽跑
389,cheu-sòng,cheusòng,照常,chiàusiông,照常,照常
390,cheu-sṳ̀,cheusṳ̀,照時,chiàusî,照時,照時
391,chêu-sú,chêusú,招手,ia̍tchhiú,招手,招手
