ID,Hakfa_FHL_Unicode,Hanzi,Hakfa_HanLo,Taigi_FHL_Unicode,Taigi_HanLo,Hua-gi
1770,chhung-yeu-sin,chhungyeusin,重要性,tiōngiàu sèng,重要性,重要性
1771,chhung-yim,chhungyim,重任,tāngjīm,重任,重任
1772,chhung-yung,chhungyung,重用,tiōngiōng,重用,重用
1773,chhut-âi-khi̍p-ki,chhutâikhi̍pki,出埃及記,Chhut Aiki̍p kì,出埃及記,出埃及記
1774,chhut-chan,chhutchan,出戰,chhut chiàn,出戰,出戰
1775,chhu̍t-châu,chhu̍tchâu,拭燥,chhit ta,拭ta,擦乾
1776,chhu̍t-chhiang,chhu̍tchhiang,拭淨,chhit chhengkhì,拭清氣,擦乾淨
1777,chhut-chhièn,chhut chhièn,出錢,chhut chîⁿ,出錢,出錢
1778,chhṳ̍t-chhòng,chhṳ̍tchhòng,直腸,ti̍ttn̂g,直腸,直腸
1779,chhut-sṳ,chhutsṳ,出事,chhut tāichì,出代誌,出事
1780,chhṳ̍t-chhṳ̍t,chhṳ̍tchhṳ̍t,直直,ti̍tti̍t,直直,直直
1781,chhṳ̍t-chiap,chhṳ̍tchiap,直接,ti̍tchiap,直接,直接
1782,chhut-chok,chhutchok,出桌,chhuttoh,出菜,上菜
1783,chhut-chû,chhutchû,出租,chhutcho͘,出租,出租
1784,chhut-chṳ̂n,chhutchṳ̂n,出征,chhutcheng,出征,出征
1785,chhṳ̍t-é,chhṳ̍t'é,姪é,ti̍t'á,姪á,姪子
1786,chhut-fat,chhutfat,出發,chhuthoat,出發,出發
1787,chhṳ̍t-hàng,chhṳ̍thàng,直行,ti̍t kiâⁿ,直行,直行
1788,chhut-khéu,chhutkhéu,出口,chhutkháu,出口,出口
1789,chhut-hi,chhuthi,出去,chhut khì,出去,出去
1790,chhut-hi,chhuthi,出氣,chhutkhì,出氣,出氣
1791,chhut-hien,chhuthien,出現,chhuthiān,出現,出現
1792,chhut-hiet,chhuthiet,出血,chhut hoeh,出血,出血
1793,chhṳ̍t-hiong,chhṳ̍thiong,直向,ti̍t hiòng,直向,直向
1794,chhut-hói,chhuthói,出海,chhut hái,出海,出海
1795,chhut-hon,chhuthon,出汗,chhut kōaⁿ,出汗,出汗
1796,chhut-ka,chhutka,出嫁,chhutkè,出嫁,出嫁
1797,chhṳ̍t-kang,chhṳ̍tkang,直徑,ti̍tkèng,直徑,直徑
1798,chhut-khièn,chhutkhièn,出拳,chhut kûn,出拳,出拳
1799,chhṳt-khúng,chhṳtkhúng,七孔,chhitkhóng,七孔,七孔
1800,chhṳ̍t-kok,chhṳ̍tkok,直角,ti̍tkak,直角,直角
1801,chhṳ̍t-kóng,chhṳ̍tkóng,直講,ti̍t kóng,直講,直講
1802,chhut-li̍t,chhutli̍t,出力,chhutla̍t,出力,出力
1803,chhut-lòi,chhutlòi,出來,chhut lâi,出來,出來
1804,chhut-lu,chhutlu,出路,chhutlō͘,出路,出路
1805,chhṳ̍t-lu,chhṳ̍tlu,直路,ti̍t lō͘,直路,直路
1806,chhut-lu-ki,chhutluki,出路記,chhutlō͘ kì,出路記,出路記
1807,chhut-mai,chhutmai,出賣,chhutbē,出賣,出賣
1808,chhut-miàng,chhutmiàng,出名,chhutmiâ,出名,出名
1809,chhut-mien,chhutmien,出面,chhutbīn,出面,出面
1810,chhṳ̍t-mìn,chhṳ̍tmìn,殖民,si̍tbîn,殖民,殖民
1811,chhut-mùn,chhutmùn,出門,chhutmn̂g,出門,出門
